Consumer Services	28	3.7	1.712853520215254	4730000.0	7335000.0	0.85	12.95	984000.0	0.0
Department Stores	10	4.12	1.9239745673259718	809610000.0	459410000.0	59.599999999999994	6.25	442714000.0	0.0
Foreign Utilities	16	5.68	2.3927751483714452	1030000000.0	649345000.0	37.45	31.200000000000003	0.0	0.0
Gaming Activities	25	3.02	0.23977304849977787	134205.0	1110000.0	22.3	9.35	1136000.0	0.0
Health Care Plans	15	6.52	4.534614454083572	285930000.0	208260000.0	7.25	23.05	41613000.0	0.0
Insurance Brokers	15	6.345000000000001	1.1215225734927	45240000.0	38280000.0	20.0	9.35	6387000.0	0.0
Metal Fabrication	16	6.305	1.1015035523489565	30400000.0	22560000.0	36.050000000000004	31.9	14426500.0	0.0
Personal Products	33	3.38	0.6507358730894294	203400.0	900470.0	-17.3	11.1	734500.0	0.0
Personal Services	34	2.16	1.7660383647389093	13640000.0	20640000.0	12.7	14.45	5427500.0	0.0
REIT - Industrial	9	3.12	1.2021049999232232	81400000.0	22125000.0	19.0	19.25	167069000.0	0.0
Regional Airlines	20	3.72	2.0693671482927543	105580000.0	25865000.0	58.7	29.0	14759500.0	0.0
Research Services	47	-9.99	0.46386184868826497	16067.0	-1010000.0	11.3	17.6	761500.0	9500.0
Resorts & Casinos	31	4.49	1.443628140801056	20995000.0	5990000.0	7.7	11.7	11436000.0	0.0
Rubber & Plastics	30	5.31	1.7810310408267114	5720000.0	4610000.0	19.9	13.0	5499000.0	0.0
Business Equipment	28	5.13	2.3843784252712945	18270000.0	14440000.0	14.4	10.3	3333000.0	0.0
Electric Utilities	49	3.925	1.5496191617207677	386625000.0	186955000.0	12.6	5.9	225939000.0	0.0
Electronics Stores	11	4.79	1.2657317912077262	13640000.0	77020000.0	-3.45	13.8	48047000.0	0.0
Heavy Construction	21	5.74	1.5859180880994646	19270000.0	12530000.0	54.7	13.2	12821000.0	0.0
Marketing Services	26	2.11	1.4850473720963562	4080000.0	-158560.0	-6.0	15.4	694000.0	0.0
Money Center Banks	21	1.225	0.33401376577778574	230600000.0	1840000000.0	16.8	5.4	4339000.0	0.0
Personal Computers	7	1.93	-0.1086102330696525	-271855.0	-631020.0	130.15	3.75	676000.0	0.0
Publishing - Books	7	4.85	3.3867851740225388	140390000.0	42900000.0	-5.6499999999999995	2.7	49450000.0	0.0
REIT - Diversified	52	3.0999999999999996	1.1193035842339374	64845000.0	18740000.0	15.9	12.600000000000001	131083000.0	0.0
REIT - Hotel/Motel	15	3.54	1.6093498539085327	76470000.0	7650000.0	71.1	35.1	154935000.0	0.0
REIT - Residential	29	2.63	1.0839382531853765	36950000.0	8875000.0	23.0	7.6	68647000.0	0.0
Specialty Eateries	8	2.0700000000000003	3.1160275100714463	17380000.0	29045000.0	20.6	39.3	45459000.0	0.0
Technical Services	19	3.105	1.0004073514964178	1712500.0	7745000.0	17.8	8.85	410000.0	0.0
Textile Industrial	21	2.99	1.2549690972927487	6800000.0	1180000.0	16.1	5.15	3039000.0	0.0
Toy & Hobby Stores	2	11.934999999999999	5.847629772056333	265235000.0	125230000.0	4.6	16.0	86865000.0	0.0
Air Services, Other	9	5.11	1.0034969158677278	46310000.0	49980000.0	11.3	5.2	5538500.0	0.0
Beverages - Brewers	12	7.8	1.5140819543401811	405190000.0	158800000.0	56.2	10.5	556000.0	0.0
Computers Wholesale	19	-0.03500000000000002	0.6689024620291398	2825000.0	-1370000.0	28.6	7.5	1283000.0	0.0
General Contractors	15	4.48	1.153748779341025	5370000.0	14810000.0	109.95	9.6	2574000.0	0.0
Management Services	61	5.84	0.694538565554134	2170000.0	5795000.0	9.95	19.7	1264000.0	0.0
Mortgage Investment	35	0.17	0.23909125013230598	2920000.0	11275000.0	1.6	17.25	2674500.0	0.0
Oil & Gas Pipelines	30	5.155	2.4555470240160795	130455000.0	60020000.0	28.9	25.2	85270000.0	0.0
Property Management	56	1.77	0.830370783024331	1765000.0	2840000.0	5.449999999999999	15.5	2596000.0	0.0
Specialty Chemicals	50	3.65	1.1149341955814749	14195000.0	5260000.0	27.0	12.149999999999999	7394500.0	0.0
Sporting Activities	13	-0.7050000000000001	-1.6134688908349175	-192070.0	-760070.0	-1.1500000000000004	7.5	166000.0	0.0
Advertising Agencies	11	4.765000000000001	2.2340846184262553	63280000.0	60690000.0	50.0	17.0	1765000.0	0.0
Application Software	78	2.96	2.4862967970748637	7300000.0	3205000.0	12.65	11.8	542000.0	5129000.0
Auto Parts Wholesale	6	8.530000000000001	1.8838706530751597	36530000.0	38600000.0	19.0	15.6	35500000.0	0.0
Broadcasting - Radio	20	3.57	1.1900228693451953	28660000.0	4858585.0	4.85	8.3	11440000.0	0.0
Computer Peripherals	51	2.6500000000000004	0.13998102914444183	1160000.0	1490000.0	22.4	16.3	890000.0	4186000.0
