LMS	000.808	7	7	0.19199335087962321
GRP	000.883	7	7	0.11658870967741936
ALB	000.907	7	7	0.09288519637462235
AEIS	000.908	7	7	0.09177721189150775
MTW	000.908	7	7	0.09209090909090908
WFR	000.944	7	7	0.05610814249363868
HITT	000.958	7	7	0.04179032258064516
GGC	001.763	7	6	0.23716101694915254
IDCC	001.789	6	7	0.2105103448275862
CVGI	001.801	7	6	0.19942161072649198
EXP	001.820	7	6	0.18031147540983605
MLI	001.823	7	6	0.17650666666666667
NOBL	001.835	7	6	0.16453002543208595
SSD	001.840	6	7	0.15983471074380165
TDW	001.842	7	6	0.15809375
WDC	001.842	7	6	0.15772455089820359
HOS	001.859	7	6	0.14058236219461298
HUN	001.863	7	6	0.13684210526315788
ESV	001.866	7	6	0.13441997063142438
RADN	001.879	7	6	0.12107364471595555
EBIX	001.881	7	6	0.11946485773506689
VVI	001.886	7	6	0.11436572568963853
KDN	001.888	7	6	0.11176166695367659
CR	001.889	7	6	0.11068345323741008
CSL	001.895	7	6	0.10496206896551724
N	001.895	6	7	0.10545454545454545
OTEX	001.897	7	6	0.1028568476520122
WCC	001.897	7	6	0.10333227848101266
HLF	001.898	7	6	0.10153046594982079
MGPI	001.899	7	6	0.10135408830507493
UTX	001.899	7	6	0.1006433166547534
DD	001.901	7	6	0.09920134510298445
WGOV	001.903	7	6	0.09747826086956522
OMG	001.904	7	6	0.09614473684210527
RTN	001.905	7	6	0.0945616883116883
NE	001.906	6	7	0.09437953795379538
CBG	001.909	7	6	0.09105631399317407
HRS	001.909	6	7	0.09119448698315467
BRC	001.910	6	7	0.089981220657277
NEWP	001.912	7	6	0.08770212180085361
EW	001.913	7	6	0.0868661971830986
APLX	001.917	6	7	0.08257561699758768
RESP	001.917	6	7	0.08299615384615384
CYMI	001.921	7	6	0.07852112676056339
FLIR	001.922	7	6	0.07846842105263158
OKS	001.922	7	6	0.07761329305135951
BUCY	001.923	6	7	0.07712230215827338
ECHO	001.926	7	6	0.07440902578796563
SYK	001.927	7	6	0.07301916105644744
NSR	001.934	6	7	0.06602577319587628
LIOX	001.936	7	6	0.0642484680089826
TRAK	001.939	7	6	0.06100733684804603
ARTC	001.947	6	7	0.05337301587301587
ICCA	001.947	7	6	0.05261640478593052
IMGC	001.949	7	6	0.05143220338983051
BLUD	001.950	7	6	0.04976712328767123
SWHC	001.956	6	7	0.043833922261484096
ASPM	001.965	6	7	0.034513118506779364
RHAT	001.976	7	6	0.024084269662921348
ULTI	001.982	6	7	0.018260577318047724
MRO	002.677	7	5	0.3225690706853247
SYTE.OB	002.731	7	5	0.26902173913043476
SEB	002.740	7	5	0.2595073529411765
GW	002.743	7	5	0.25683088235294116
PDC	002.756	6	6	0.24446795702063226
WLK	002.768	6	6	0.23235748792270533
X	002.768	7	5	0.23226703755215578
CMI	002.782	6	6	0.21794871794871795
ATNI	002.783	6	6	0.21724814791363262
PQE	002.795	6	6	0.2051845999444812
STLD	002.796	6	6	0.2041
UCIA.OB	002.797	7	5	0.2026578073089701
NUE	002.804	7	5	0.19559032716927455
XTO	002.817	7	5	0.18321826872012745
ITWO	002.820	7	5	0.1800188098495212
IRN	002.826	7	5	0.17393020685299226
LYO	002.833	6	6	0.16736753574432295
SKYW	002.833	7	5	0.16697909407665507
POL	002.835	7	5	0.16529850746268657
CMN	002.836	6	6	0.1637472938397953
KCI	002.837	6	6	0.1628197424892704
AL	002.839	7	5	0.16138328530259366
AEPI	002.840	7	5	0.16041461957882974
NSIT	002.841	6	6	0.15900946059621346
TBWC	002.842	7	5	0.158418468886825
BGG	002.845	7	5	0.15544767441860466
CTCO	002.848	7	5	0.15196363636363636
AMOT	002.851	6	6	0.14933206106870228
AMD	002.852	7	5	0.14828544949026876
PALM	002.852	6	6	0.14788
TTMI	002.853	6	6	0.14746401114493576
WHQ	002.855	6	6	0.14489855072463767
WCAA	002.856	6	6	0.14421025993275732
OS	002.857	6	6	0.1433296089385475
TFX	002.858	7	5	0.1424609375
PPG	002.860	6	6	0.13980263157894737
GSIG	002.861	5	7	0.1386471161833219
ZIGO	002.861	6	6	0.13915687919463088
CVG	002.862	6	6	0.1384967320261438
GTI	002.863	5	7	0.13674809160305343
SCRX	002.863	5	7	0.13673166502578873
CGX	002.865	7	5	0.13524553670807177
FD	002.865	7	5	0.13450865164871043
HEES	002.865	7	5	0.1349430894308943
CCMP	002.870	7	5	0.13047704770477048
JBX	002.870	7	5	0.13043283582089554
HPC	002.872	7	5	0.1280811808118081
IVAC	002.873	6	6	0.12655122142018987
JLG	002.874	5	7	0.12595693779904307
CMTL	002.875	7	5	0.1248386119833591
GCI	002.875	7	5	0.1251372118551043
LAYN	002.876	6	6	0.12374722333968831
IKNX	002.877	6	6	0.12270389419544453
RARE	002.877	7	5	0.12258333333333332
THE	002.877	6	6	0.12323076923076923
TEX	002.878	6	6	0.12240704500978473
ANF	002.881	6	6	0.11939093959731543
MTOX	002.881	6	6	0.11923495944800871
CYT	002.882	6	6	0.11767810026385224
UEIC	002.882	5	7	0.11825746451297112
NDSN	002.883	7	5	0.11747945205479451
AEA	002.884	7	5	0.11634146341463415
ARG	002.884	7	5	0.11648895027624309
MAPS	002.884	6	6	0.115914215803867
MKSI	002.884	6	6	0.11603211874711727
NBSC	002.884	7	5	0.11564837905236908
ELMG	002.885	7	5	0.11502318519430424
MAXC	002.885	7	5	0.11477897932081199
MTN	002.885	7	5	0.11533870967741935
SY	002.885	6	6	0.1147247191011236
HBG	002.886	6	6	0.11386324786324786
STRS	002.886	7	5	0.11382145052243393
